# Cores with an Android build, from buildbot.libretro.com.
# Generated by scripts/android-cores.py. Do not hand-edit.
#
# Build input, not a shipped asset: CuratedCatalogueTest reads it to assert every curated core
# builds for both ABIs. The app does not consult it, because the catalogue is already only
# runnable cores.
#
# <core id> <abis>   64 = arm64-v8a, 32 = armeabi-v7a
vice_xscpu64_libretro 64,32
vice_xvic_libretro 64,32
vircon32_libretro 64,32
virtualjaguar_libretro 64,32
virtualxt_libretro 64,32
vitaquake2-rogue_libretro 64,32
vitaquake2-xatrix_libretro 64,32
vitaquake2-zaero_libretro 64,32
vitaquake2_libretro 64,32
wasm4_libretro 64,32
wqxemu_libretro 64,32
x1_libretro 64,32
xrick_libretro 64,32
yabasanshiro_libretro 64,32
yabause_libretro 64,32
ymir_libretro 64
